Make_x,Model,New Price,Decay Coeff,Fit R2,Half-life,Make_y,Body,Listings
Acura,ILX,30777,0.128,0.763,5.41,Acura,Sedan,97
Acura,MDX,55726,0.168,0.938,4.12,Acura,SUV,462
Acura,RDX,42559,0.156,0.953,4.44,Acura,SUV,265
Acura,TL,28820,0.109,0.702,6.38,Acura,Sedan,260
Acura,TLX,35871,0.153,0.778,4.53,Acura,Sedan,115
Acura,TSX,32150,0.123,0.675,5.65,AcuraAcura,SedanWagon,147
Audi,A3,36273,0.15,0.876,4.61,AudiAudiAudiAudi,SedanHatchbackWagonConvertible,264
Audi,A4,42268,0.168,0.893,4.12,AudiAudiAudiAudiAudi,SedanWagonConvertibleCoupeHatchback,477
Audi,A5,54769,0.187,0.924,3.71,AudiAudiAudi,CoupeConvertibleHatchback,169
Audi,A6,67021,0.228,0.923,3.03,AudiAudi,SedanWagon,241
Audi,A7,86183,0.197,0.919,3.53,Audi,Hatchback,82
Audi,A8,104135,0.24,0.943,2.89,AudiAudi,SedanSUV,117
Audi,Q3,40387,0.161,0.848,4.32,Audi,SUV,100
Audi,Q5,48994,0.166,0.923,4.16,AudiAudi,SUVHatchback,406
Audi,Q7,68250,0.181,0.899,3.83,Audi,SUV,250
Audi,S4,59090,0.142,0.898,4.88,AudiAudiAudi,SedanConvertibleWagon,70
Audi,S5,67012,0.155,0.93,4.48,AudiAudiAudi,CoupeConvertibleHatchback,103
Audi,TT,51937,0.134,0.915,5.17,AudiAudi,CoupeConvertible,65
BMW,325i,23332,0.104,0.1,6.67,BMWBMWBMW,SedanConvertibleWagon,71
BMW,328i xDrive,41129,0.163,0.798,4.26,BMWBMWBMW,SedanCoupeWagon,152
BMW,330i,43176,0.152,0.899,4.55,BMWBMW,SedanCoupe,214
BMW,330i xDrive,52610,0.196,0.872,3.53,BMWBMW,SedanWagon,65
BMW,335i,44427,0.132,0.656,5.23,BMWBMWBMW,ConvertibleSedanCoupe,148
BMW,528i,35578,0.13,0.875,5.31,BMWBMW,SedanWagon,121
BMW,530i,59064,0.176,0.969,3.95,BMW,Sedan,79
BMW,535i,51484,0.165,0.847,4.2,BMW,Sedan,122
BMW,535i xDrive,52123,0.177,0.66,3.92,BMWBMW,SedanWagon,86
BMW,650i,150783,0.272,0.619,2.55,BMWBMW,ConvertibleCoupe,79
BMW,750Li,86679,0.194,0.807,3.57,BMWBMW,SedanSUV,64
BMW,M3,60206,0.069,0.602,10.0,BMWBMWBMW,CoupeConvertibleSedan,187
BMW,M5,99306,0.125,0.689,5.53,BMW,Sedan,89
BMW,X1,42270,0.188,0.93,3.69,BMWBMW,SUVHatchback,219
BMW,X2,43398,0.13,0.452,5.33,BMW,SUV,61
BMW,X3,47727,0.172,0.902,4.03,BMW,SUV,546
BMW,X5,68956,0.185,0.955,3.74,BMWBMW,SUVHatchback,689
BMW,X6,80540,0.177,0.91,3.91,BMW,SUV,72
BMW,Z4,61581,0.139,0.937,4.98,BMWBMW,ConvertibleCoupe,110
